operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819385800|1759819385801|11|0|7848912
LdbcQuery11|1759819385826|1759819385827|8|0|7874816
LdbcQuery11|1759819385852|1759819385854|8|0|7900720
LdbcQuery11|1759819385878|1759819385878|9|0|7926624
LdbcQuery11|1759819385903|1759819385904|7|0|7952528
LdbcQuery11|1759819385929|1759819385930|9|0|7978432
LdbcQuery11|1759819385955|1759819385955|7|0|8004336
LdbcQuery11|1759819385981|1759819385982|8|0|8030240
LdbcQuery11|1759819386007|1759819386008|10|0|8056144
LdbcQuery11|1759819386033|1759819386034|8|0|8082048
LdbcQuery11|1759819386059|1759819386059|8|0|8107952
LdbcQuery11|1759819386085|1759819386086|21|0|8133856
LdbcQuery11|1759819386111|1759819386112|10|0|8159760
LdbcQuery11|1759819386137|1759819386137|7|0|8185664
LdbcQuery11|1759819386162|1759819386162|8|0|8211568
LdbcQuery11|1759819386188|1759819386189|8|0|8237472
LdbcQuery11|1759819386214|1759819386216|8|0|8263376
LdbcQuery11|1759819386240|1759819386242|8|0|8289280
LdbcQuery11|1759819386266|1759819386266|9|0|8315184
LdbcQuery11|1759819386292|1759819386294|10|0|8341088
LdbcQuery11|1759819386318|1759819386319|9|0|8366992
LdbcQuery11|1759819386344|1759819386344|8|0|8392896
LdbcQuery11|1759819386370|1759819386371|21|0|8418800
LdbcQuery11|1759819386396|1759819386397|9|0|8444704
LdbcQuery11|1759819386422|1759819386424|10|0|8470608
LdbcQuery11|1759819386447|1759819386447|11|0|8496512
LdbcQuery11|1759819386473|1759819386474|9|0|8522416
LdbcQuery11|1759819386499|1759819386499|9|0|8548320
LdbcQuery11|1759819386525|1759819386526|11|0|8574224
LdbcQuery11|1759819386551|1759819386553|12|0|8600128
LdbcQuery11|1759819386577|1759819386577|10|0|8626032
LdbcQuery11|1759819386603|1759819386603|11|0|8651936
LdbcQuery11|1759819386629|1759819386629|8|0|8677840
LdbcQuery11|1759819386655|1759819386656|10|0|8703744
LdbcQuery11|1759819386681|1759819386682|9|0|8729648
LdbcQuery11|1759819386706|1759819386706|10|0|8755552
LdbcQuery11|1759819386732|1759819386734|9|0|8781456
LdbcQuery11|1759819386758|1759819386758|9|0|8807360
LdbcQuery11|1759819386784|1759819386784|8|0|8833264
LdbcQuery11|1759819386810|1759819386811|9|0|8859168
LdbcQuery11|1759819386836|1759819386836|9|0|8885072
LdbcQuery11|1759819386862|1759819386863|10|0|8910976
LdbcQuery11|1759819386888|1759819386888|11|0|8936880
LdbcQuery11|1759819386914|1759819386914|8|0|8962784
LdbcQuery11|1759819386940|1759819386940|10|0|8988688
LdbcQuery11|1759819386965|1759819386965|8|0|9014592
LdbcQuery11|1759819386991|1759819386991|10|0|9040496
LdbcQuery11|1759819387017|1759819387018|9|0|9066400
LdbcQuery11|1759819387043|1759819387043|10|0|9092304
LdbcQuery11|1759819387069|1759819387070|9|0|9118208
LdbcQuery11|1759819387095|1759819387095|11|0|9144112
LdbcQuery11|1759819387121|1759819387121|8|0|9170016
LdbcQuery11|1759819387147|1759819387148|10|0|9195920
LdbcQuery11|1759819387173|1759819387174|10|0|9221824
LdbcQuery11|1759819387199|1759819387199|8|0|9247728
LdbcQuery11|1759819387225|1759819387225|9|0|9273632
LdbcQuery11|1759819387250|1759819387250|11|0|9299536
LdbcQuery11|1759819387276|1759819387276|13|0|9325440
LdbcQuery11|1759819387302|1759819387302|9|0|9351344
LdbcQuery11|1759819387328|1759819387328|10|0|9377248
LdbcQuery11|1759819387354|1759819387355|9|0|9403152
LdbcQuery11|1759819387380|1759819387380|9|0|9429056
LdbcQuery11|1759819387406|1759819387407|10|0|9454960
LdbcQuery11|1759819387432|1759819387432|8|0|9480864
LdbcQuery11|1759819387458|1759819387458|8|0|9506768
LdbcQuery11|1759819387484|1759819387484|9|0|9532672
LdbcQuery11|1759819387509|1759819387509|8|0|9558576
LdbcQuery11|1759819387535|1759819387535|10|0|9584480
LdbcQuery11|1759819387561|1759819387561|7|0|9610384
LdbcQuery11|1759819387587|1759819387588|8|0|9636288
