operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819583366|1759819583366|7|0|8341088
LdbcQuery11|1759819583392|1759819583393|7|0|8366992
LdbcQuery11|1759819583418|1759819583418|5|0|8392896
LdbcQuery11|1759819583444|1759819583445|9|0|8418800
LdbcQuery11|1759819583470|1759819583470|4|0|8444704
LdbcQuery11|1759819583496|1759819583497|7|0|8470608
LdbcQuery11|1759819583521|1759819583521|8|0|8496512
LdbcQuery11|1759819583547|1759819583547|6|0|8522416
LdbcQuery11|1759819583573|1759819583573|5|0|8548320
LdbcQuery11|1759819583599|1759819583599|9|0|8574224
LdbcQuery11|1759819583625|1759819583625|4|0|8600128
LdbcQuery11|1759819583651|1759819583651|5|0|8626032
LdbcQuery11|1759819583677|1759819583677|5|0|8651936
LdbcQuery11|1759819583703|1759819583703|6|0|8677840
LdbcQuery11|1759819583729|1759819583729|5|0|8703744
LdbcQuery11|1759819583755|1759819583755|5|0|8729648
LdbcQuery11|1759819583780|1759819583780|7|0|8755552
LdbcQuery11|1759819583806|1759819583806|8|0|8781456
LdbcQuery11|1759819583832|1759819583833|6|0|8807360
LdbcQuery11|1759819583858|1759819583858|8|0|8833264
LdbcQuery11|1759819583884|1759819583885|5|0|8859168
LdbcQuery11|1759819583910|1759819583910|8|0|8885072
LdbcQuery11|1759819583936|1759819583936|6|0|8910976
LdbcQuery11|1759819583962|1759819583962|6|0|8936880
LdbcQuery11|1759819583988|1759819583988|6|0|8962784
LdbcQuery11|1759819584014|1759819584014|7|0|8988688
LdbcQuery11|1759819584039|1759819584040|5|0|9014592
LdbcQuery11|1759819584065|1759819584065|6|0|9040496
LdbcQuery11|1759819584091|1759819584092|6|0|9066400
LdbcQuery11|1759819584117|1759819584117|5|0|9092304
LdbcQuery11|1759819584143|1759819584143|9|0|9118208
LdbcQuery11|1759819584169|1759819584169|5|0|9144112
LdbcQuery11|1759819584195|1759819584196|6|0|9170016
LdbcQuery11|1759819584221|1759819584221|5|0|9195920
LdbcQuery11|1759819584247|1759819584248|11|0|9221824
LdbcQuery11|1759819584273|1759819584273|4|0|9247728
LdbcQuery11|1759819584299|1759819584299|9|0|9273632
LdbcQuery11|1759819584324|1759819584325|6|0|9299536
LdbcQuery11|1759819584350|1759819584350|6|0|9325440
LdbcQuery11|1759819584376|1759819584376|8|0|9351344
LdbcQuery11|1759819584402|1759819584403|5|0|9377248
LdbcQuery11|1759819584428|1759819584428|5|0|9403152
LdbcQuery11|1759819584454|1759819584454|5|0|9429056
LdbcQuery11|1759819584480|1759819584481|8|0|9454960
LdbcQuery11|1759819584506|1759819584507|8|0|9480864
LdbcQuery11|1759819584532|1759819584532|7|0|9506768
LdbcQuery11|1759819584558|1759819584558|5|0|9532672
LdbcQuery11|1759819584583|1759819584583|5|0|9558576
LdbcQuery11|1759819584609|1759819584609|9|0|9584480
LdbcQuery11|1759819584635|1759819584637|6|0|9610384
LdbcQuery11|1759819584661|1759819584662|10|0|9636288
LdbcQuery11|1759819584687|1759819584687|5|0|9662192
LdbcQuery11|1759819584713|1759819584714|9|0|9688096
